year,km,calor,price,location
2021,39000,Gri,407000,Edirne Merkez
2020,68700,Kýrmýzý,365000,Ýstanbul Bakýrköy
2020,48000,Gri,385000,Yozgat Yerköy
2020,36000,Beyaz,430000,Ýstanbul Ümraniye
2020,2800,Beyaz,431500,Ýstanbul Tuzla
2021,7900,Beyaz,459000,Þanlýurfa Eyyübiye
2021,31965,Gri,470000,Kahramanmaraþ Dulkadiroðlu
2021,22400,Füme,444000,Adana Ceyhan
2021,19500,Beyaz,403000,Ankara Yenimahalle
2021,8700,Füme,417500,Bursa Osmangazi
2021,18200,Gri,450000,Ýstanbul Þiþli
2021,9900,Bej,420000,Ýstanbul Þiþli
2021,14500,Kahverengi,459500,Ankara Yenimahalle
2021,25000,Gri,434000,Samsun Çarþamba
2021,3,Beyaz,502500,Uþak Merkez
2019,28000,Gri,405000,Tekirdað Süleymanpaþa
2020,18500,Kahverengi,470000,Kocaeli Gebze
2020,13000,Füme,412500,Ýstanbul Esenyurt
2021,8500,Gri,445000,Ýstanbul Beykoz
2020,21000,Gri,412000,Aydýn Efeler
