year,km,calor,price,location
2021,Gri,407.000 TL,"Edirne
Merkez"
2020,Kýrmýzý,365.000 TL,"Ýstanbul
Bakýrköy"
2020,Gri,385.000 TL,"Yozgat
Yerköy"
2020,Beyaz,430.000 TL,"Ýstanbul
Ümraniye"
2020,Beyaz,431.500 TL,"Ýstanbul
Tuzla"
2021,Beyaz,459.000 TL,"Þanlýurfa
Eyyübiye"
2021,Gri,470.000 TL,"Kahramanmaraþ
Dulkadiroðlu"
2021,Füme,444.000 TL,"Adana
Ceyhan"
2021,Beyaz,403.000 TL,"Ankara
Yenimahalle"
2021,Füme,417.500 TL,"Bursa
Osmangazi"
2021,Gri,450.000 TL,"Ýstanbul
Þiþli"
2021,Bej,420.000 TL,"Ýstanbul
Þiþli"
2021,Kahverengi,459.500 TL,"Ankara
Yenimahalle"
2021,Gri,434.000 TL,"Samsun
Çarþamba"
2019,Gri,405.000 TL,"Tekirdað
Süleymanpaþa"
2020,Kahverengi,470.000 TL,"Kocaeli
Gebze"
2020,Füme,412.500 TL,"Ýstanbul
Esenyurt"
2021,Gri,445.000 TL,"Ýstanbul
Beykoz"
2020,Gri,412.000 TL,"Aydýn
Efeler"
2021,Füme,413.500 TL,"Adana
Yüreðir"
